Question,Answer
What is the largest planet in our solar system?,Jupiter
Which star is closest to Earth?,Sun
What is the name of the galaxy that contains our solar system?,Milky Way
What force keeps planets orbiting the sun?,Gravity
How long does it take for light from the sun to reach Earth?,8 minutes
What phase of the moon occurs when the moon is between the Earth and the Sun?,New Moon
Which planet is known as the "Red Planet"?,Mars
What is the region beyond Neptune known as?,Kuiper Belt
Who developed the theory of relativity?,Albert Einstein
What is a celestial body that orbits a planet called?,Moon
What keyword is used to define a function in Python?,def
Which data structure is ordered and mutable in Python?,list
What command is used to install external libraries in Python?,pip install
What is the purpose of the 'if __name__ == "__main__":' block?,Execution Entry Point
Which built-in function returns the length of an object?,len()
What is the symbol for the exponentiation operator in Python?,**
What is a function inside a class called?,method
What is the default return value of a Python function that doesn't explicitly return anything?,None
Which loop is best used when you know exactly how many times you want to iterate?,for
How do you start a single-line comment in Python?,#
What is the capital of Australia?,Canberra
What is the capital of Canada?,Ottawa
What is the capital of Brazil?,Brasília
What is the capital of Japan?,Tokyo
What is the capital of Egypt?,Cairo
What is the capital of South Korea?,Seoul
What is the capital of South Africa?,Pretoria
What is the capital of Germany?,Berlin
What is the capital of New Zealand?,Wellington
What is the capital of Mexico?,Mexico City
